Title,HE students by subject area and sex,,
Location,UK,,
Academic years,2014/15 to 2018/19,,
Data source,HESA,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/students/chart-7,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/students/chart-7.csv,,
Licence,Creative Commons Attribution 4.0 International Licence,,
Code page,Unicode UTF-8 ,,
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count. ,,
,,,
Last updated,Feb-20,,
,,,
,,,
Academic Year,Subject area,Sex,Number
2014/15,Medicine & dentistry,Female,37335
2014/15,Medicine & dentistry,Male,28660
2014/15,Subjects allied to medicine,Female,218510
2014/15,Subjects allied to medicine,Male,56815
2014/15,Biological sciences,Female,128775
2014/15,Biological sciences,Male,82570
2014/15,Veterinary science,Female,4495
2014/15,Veterinary science,Male,1405
2014/15,Agriculture & related subjects,Female,11855
2014/15,Agriculture & related subjects,Male,7350
2014/15,Physical sciences,Female,37080
2014/15,Physical sciences,Male,56660
2014/15,Mathematical sciences,Female,15955
2014/15,Mathematical sciences,Male,26440
2014/15,Computer science,Female,16040
2014/15,Computer science,Male,77170
2014/15,Engineering & technology,Female,26955
2014/15,Engineering & technology,Male,134340
2014/15,"Architecture, building & planning",Female,17365
2014/15,"Architecture, building & planning",Male,30885
2014/15,Social studies,Female,130585
2014/15,Social studies,Male,77380
2014/15,Law,Female,53555
2014/15,Law,Male,34035
2014/15,Business & administrative studies,Female,161450
2014/15,Business & administrative studies,Male,165330
2014/15,Mass communications & documentation,Female,28775
2014/15,Mass communications & documentation,Male,19825
2014/15,Languages,Female,77375
2014/15,Languages,Male,33945
2014/15,Historical & philosophical studies,Female,46070
2014/15,Historical & philosophical studies,Male,40235
2014/15,Creative arts & design,Female,105840
2014/15,Creative arts & design,Male,61030
2014/15,Education,Female,124960
2014/15,Education,Male,39405
2014/15,Combined,Female,30280
2014/15,Combined,Male,18870
2015/16,Medicine & dentistry,Female,37415
2015/16,Medicine & dentistry,Male,28120
2015/16,Subjects allied to medicine,Female,226025
2015/16,Subjects allied to medicine,Male,58870
2015/16,Biological sciences,Female,134345
2015/16,Biological sciences,Male,82995
2015/16,Veterinary science,Female,5205
